loss_s1,mae_s1,acc_s1,loss_s2,mae_s2,acc_s2,loss_d1,mae_d1,acc_d1,loss_d2,mae_d2,acc_d2
0.8491438939571381,0.47132913387616476,0.7915666666666666,0.8504365539073944,0.47067788165410357,0.8176666666666667,0.8300520931402843,0.4734052331924439,0.8215333333333333,0.8642500279108684,0.47533037072817486,0.7093833333333334
0.8082165526390076,0.468761620092392,0.9525666666666667,0.8404465180079143,0.47424868898391725,0.7250333333333333,0.8137641534010569,0.4679121390660604,0.7438166666666667,0.8045496830304464,0.4721042894999186,0.7692833333333333
0.8016491043726603,0.46829452212651573,0.8922,0.8108157115062078,0.4687496859073639,0.7508166666666667,0.8017273825327556,0.4695616395632426,0.9095166666666666,0.8074153254111608,0.46957690512339273,0.8694166666666666
0.8507099690119425,0.47130848004023235,0.75965,0.8380493595123291,0.4707406279881795,0.9376666666666666,0.8579039645989736,0.47892431626319887,0.6497166666666667,0.865644358253479,0.47898753259976706,0.5312166666666667
0.8308304728825887,0.47128849126497907,0.9484166666666667,0.8362475725015005,0.47190105748176575,0.7895166666666666,0.8295734079519907,0.4728979966958364,0.9212833333333333,0.8372964206059774,0.4786445616404216,0.6883666666666667
0.8389379272143046,0.4722407270113627,0.9169833333333334,0.843384352350235,0.4747523274898529,0.95205,0.8406918435414632,0.47074093623161317,0.89345,0.8341979600429535,0.4724393257459005,0.8137666666666666
0.8348133960405986,0.47652162276903787,0.8476833333333333,0.8551429440736771,0.4753081209341685,0.8923333333333333,0.8641853380997976,0.48129609820048014,0.7062166666666667,0.8405190137704214,0.474470197057724,0.8175666666666667
0.8079980851173401,0.4705978888034821,0.8065166666666667,0.8071830415089926,0.47111322593688965,0.7812333333333333,0.8010467253684997,0.46793767429987587,0.9027,0.797380127954483,0.47036397587458295,0.8837333333333334
0.8263309991200765,0.4708825659592946,0.9130333333333334,0.8223164491653442,0.4705660742600759,0.94335,0.8332590821584066,0.4759726129055023,0.77805,0.8104768527825673,0.46771131874720256,0.9236
0.8205182489554087,0.47522994821866354,0.8862666666666666,0.8210238829692205,0.47596834123929344,0.9116833333333333,0.820382008711497,0.46979785397847496,0.9403,0.8215799324671428,0.46949324076970417,0.8830166666666667
