best_auc,best_auc_threshold,best_f1_score,best_f1_score_threshold,_total,_tot_anomaly,_tot_normal,_tpr_recall,_precision,_accuracy,_f1_score,_fnr,_tnr,_fpr,_t_pos,_f_pos,_f_neg,_t_neg,_auc,total,tot_anomaly,tot_normal,tpr_recall,precision,accuracy,f1_score,fnr,tnr,fpr,t_pos,f_pos,f_neg,t_neg,auc,time_to_fit
0.9613999999999999,1.3905463123133222,0.9603777458427427,1.3905463123133222,10000,5000,5000,0.9356,0.9865035849852383,0.9614,0.9603777458427427,0.0644,0.9872,0.0128,4678,64,322,4936,0.9613999999999999,10000,5000,5000,0.9356,0.9865035849852383,0.9614,0.9603777458427427,0.0644,0.9872,0.0128,4678,64,322,4936,0.9613999999999999,48.70454284300013
0.9725,1.3917906727326996,0.9719759502700499,1.3917906727326996,10000,5000,5000,0.9538,0.990858092665697,0.9725,0.9719759502700499,0.0462,0.9912,0.0088,4769,44,231,4956,0.9725,10000,5000,5000,0.9538,0.990858092665697,0.9725,0.9719759502700499,0.0462,0.9912,0.0088,4769,44,231,4956,0.9725,52.8898347559998
0.9571000000000001,1.3957595681406014,0.9572836801752465,1.3957595681406014,10000,5000,5000,0.9614,0.9532024588538568,0.9571,0.9572836801752465,0.0386,0.9528,0.0472,4807,236,193,4764,0.9571000000000001,10000,5000,5000,0.9614,0.9532024588538568,0.9571,0.9572836801752465,0.0386,0.9528,0.0472,4807,236,193,4764,0.9571000000000001,58.25897030299984
0.9664000000000001,1.3871946181575834,0.9652749069863581,1.3871946181575834,10000,5000,5000,0.934,0.9987168520102652,0.9664,0.9652749069863581,0.066,0.9988,0.0012,4670,6,330,4994,0.9664000000000001,10000,5000,5000,0.934,0.9987168520102652,0.9664,0.9652749069863581,0.066,0.9988,0.0012,4670,6,330,4994,0.9664000000000001,47.59654888000023
0.9696,1.383991546021941,0.9691995947315095,1.383991546021941,10000,5000,5000,0.9566,0.9821355236139631,0.9696,0.9691995947315095,0.0434,0.9826,0.0174,4783,87,217,4913,0.9696,10000,5000,5000,0.9566,0.9821355236139631,0.9696,0.9691995947315095,0.0434,0.9826,0.0174,4783,87,217,4913,0.9696,3.0939628329997504
0.975,1.388300799714419,0.9744950010202,1.388300799714419,10000,5000,5000,0.9552,0.994585589337776,0.975,0.9744950010202,0.0448,0.9948,0.0052,4776,26,224,4974,0.975,10000,5000,5000,0.9552,0.994585589337776,0.975,0.9744950010202,0.0448,0.9948,0.0052,4776,26,224,4974,0.975,42.427428461999625
0.9744,1.392395958472414,0.9738882088943288,1.392395958472414,10000,5000,5000,0.9548,0.9937552039966694,0.9744,0.9738882088943288,0.0452,0.994,0.006,4774,30,226,4970,0.9744,10000,5000,5000,0.9548,0.9937552039966694,0.9744,0.9738882088943288,0.0452,0.994,0.006,4774,30,226,4970,0.9744,60.48439097899973
0.9738,1.3941350700660808,0.9732925586136595,1.3941350700660808,10000,5000,5000,0.9548,0.9925155925155925,0.9738,0.9732925586136595,0.0452,0.9928,0.0072,4774,36,226,4964,0.9738,10000,5000,5000,0.9548,0.9925155925155925,0.9738,0.9732925586136595,0.0452,0.9928,0.0072,4774,36,226,4964,0.9738,61.65802079800051
0.9748,1.390190368675246,0.9742014742014743,1.390190368675246,10000,5000,5000,0.9516,0.9979026845637584,0.9748,0.9742014742014743,0.0484,0.998,0.002,4758,10,242,4990,0.9748,10000,5000,5000,0.9516,0.9979026845637584,0.9748,0.9742014742014743,0.0484,0.998,0.002,4758,10,242,4990,0.9748,107.89601002600011
0.9726,1.3879010045157114,0.972103441254327,1.3879010045157114,10000,5000,5000,0.9548,0.9900456242223143,0.9726,0.972103441254327,0.0452,0.9904,0.0096,4774,48,226,4952,0.9726,10000,5000,5000,0.9548,0.9900456242223143,0.9726,0.972103441254327,0.0452,0.9904,0.0096,4774,48,226,4952,0.9726,56.35433408500012
0.9498,1.3936657391713074,0.9479577026746838,1.3936657391713074,10000,5000,5000,0.9144,0.9840723202755058,0.9498,0.9479577026746838,0.0856,0.9852,0.0148,4572,74,428,4926,0.9498,10000,5000,5000,0.9144,0.9840723202755058,0.9498,0.9479577026746838,0.0856,0.9852,0.0148,4572,74,428,4926,0.9498,3.3733762069996374
0.9566,1.3889744329504439,0.954857499479925,1.3889744329504439,10000,5000,5000,0.918,0.9947984395318595,0.9566,0.954857499479925,0.082,0.9952,0.0048,4590,24,410,4976,0.9566,10000,5000,5000,0.918,0.9947984395318595,0.9566,0.954857499479925,0.082,0.9952,0.0048,4590,24,410,4976,0.9566,51.66194954999992
0.9506999999999999,1.3907818961685945,0.9487366122491422,1.3907818961685945,10000,5000,5000,0.9124,0.9880875027073858,0.9507,0.9487366122491422,0.0876,0.989,0.011,4562,55,438,4945,0.9506999999999999,10000,5000,5000,0.9124,0.9880875027073858,0.9507,0.9487366122491422,0.0876,0.989,0.011,4562,55,438,4945,0.9506999999999999,63.903482763000284
0.9541999999999999,1.3879747326257366,0.9526370217166493,1.3879747326257366,10000,5000,5000,0.9212,0.9862955032119914,0.9542,0.9526370217166493,0.0788,0.9872,0.0128,4606,64,394,4936,0.9541999999999999,10000,5000,5000,0.9212,0.9862955032119914,0.9542,0.9526370217166493,0.0788,0.9872,0.0128,4606,64,394,4936,0.9541999999999999,3.4268272340013937
0.9510000000000001,1.3922741535949126,0.9490326607031412,1.3922741535949126,10000,5000,5000,0.9124,0.988729952319029,0.951,0.9490326607031412,0.0876,0.9896,0.0104,4562,52,438,4948,0.9510000000000001,10000,5000,5000,0.9124,0.988729952319029,0.951,0.9490326607031412,0.0876,0.9896,0.0104,4562,52,438,4948,0.9510000000000001,52.37186345800001
0.9552,1.3979163752629724,0.9543788187372709,1.3979163752629724,10000,5000,5000,0.9372,0.9721991701244813,0.9552,0.9543788187372709,0.0628,0.9732,0.0268,4686,134,314,4866,0.9552,10000,5000,5000,0.9372,0.9721991701244813,0.9552,0.9543788187372709,0.0628,0.9732,0.0268,4686,134,314,4866,0.9552,54.68591567799922
0.9528,1.3943665898453963,0.9509865005192107,1.3943665898453963,10000,5000,5000,0.9158,0.9889848812095032,0.9528,0.9509865005192107,0.0842,0.9898,0.0102,4579,51,421,4949,0.9528,10000,5000,5000,0.9158,0.9889848812095032,0.9528,0.9509865005192107,0.0842,0.9898,0.0102,4579,51,421,4949,0.9528,3.2326102390015876
0.9654000000000001,1.394054341184913,0.9645419143267062,1.394054341184913,10000,5000,5000,0.9412,0.9890710382513661,0.9654,0.9645419143267062,0.0588,0.9896,0.0104,4706,52,294,4948,0.9654000000000001,10000,5000,5000,0.9412,0.9890710382513661,0.9654,0.9645419143267062,0.0588,0.9896,0.0104,4706,52,294,4948,0.9654000000000001,57.30521543000032
