total,threshold,tpr_recall,precision,accuracy,f1_score,t_pos,f_pos,f_neg,t_neg,auc,time_to_fit
90000,9.89999999999998,0.9865771812080537,0.6074380165289256,0.9967666666666667,0.7519181585677749,441,285,6,89268,0.991697354129537,490.0149004879986
90000,9.599999999999982,0.9837587006960556,0.5913528591352859,0.9966666666666667,0.7386759581881533,424,293,7,89276,0.9902437398131331,508.16028482299953
90000,10.699999999999978,0.9830508474576272,0.5988200589970502,0.9969,0.7442713107241063,406,272,7,89315,0.9900073463291907,520.784508445
90000,9.199999999999983,0.9862700228832952,0.5904109589041096,0.9966111111111111,0.7386461011139674,431,299,6,89264,0.9914657953591135,524.4837417440012
90000,11.199999999999976,0.977924944812362,0.5930388219544847,0.9965111111111111,0.7383333333333333,443,304,10,89243,0.9872650397730386,528.0388083300004
90000,9.699999999999982,0.9798994974874372,0.598159509202454,0.997,0.7428571428571428,390,262,8,89340,0.9884877278066859,529.8401366500002
90000,10.29999999999998,0.9804878048780488,0.5775862068965517,0.9966444444444444,0.7269439421338156,402,294,8,89296,0.9886030943131174,534.1475350419987
90000,10.599999999999978,0.9732739420935412,0.5842245989304813,0.9964111111111111,0.7301587301587301,437,311,12,89240,0.9849005303593411,537.170213450001
90000,9.499999999999982,0.9931506849315068,0.56640625,0.9962666666666666,0.7213930348258706,435,333,3,89229,0.9947162951019161,539.1705512070002
90000,9.599999999999982,0.9875930521091811,0.5905044510385756,0.9968777777777778,0.7390900649953573,398,276,5,89321,0.9922562959129564,542.6808908000003
90000,10.799999999999978,0.9673659673659674,0.5836849507735584,0.9965555555555555,0.7280701754385964,415,296,14,89275,0.9820306631774629,545.4211923980001
90000,9.399999999999983,0.9840182648401826,0.5986111111111111,0.9967111111111111,0.7443868739205527,431,289,7,89273,0.9903957249481724,539.1870740119994
90000,9.599999999999982,0.9862385321100917,0.5906593406593407,0.9966222222222222,0.7388316151202748,430,298,6,89266,0.9914556512097954,536.546630109
90000,11.299999999999976,0.9734299516908212,0.6106060606060606,0.9970222222222223,0.7504655493482308,403,257,11,89329,0.9852805999384608,550.3149930009986
90000,9.799999999999981,0.9883449883449883,0.5824175824175825,0.9965666666666667,0.7329299913569577,424,304,5,89267,0.9924755163560133,553.3485162319994
90000,10.399999999999979,0.9877149877149877,0.5817655571635311,0.9967333333333334,0.7322404371584699,402,289,5,89304,0.9922446446393629,557.0574270449979
90000,9.799999999999981,0.9829683698296837,0.5804597701149425,0.9966777777777778,0.7299006323396567,404,292,7,89297,0.9898545205587267,558.3357698250002
90000,10.699999999999978,0.9800443458980045,0.594885598923284,0.9965555555555555,0.7403685092127303,442,301,9,89248,0.9883415288323733,560.6508857379995
90000,9.599999999999982,0.988009592326139,0.5746164574616457,0.9965555555555555,0.7266313932980598,412,305,5,89278,0.992302464247416,563.0492184869981
90000,9.499999999999982,0.9755501222493888,0.5572625698324022,0.9963666666666666,0.7093333333333334,399,317,10,89274,0.9860059102055171,565.9998297359998
90000,9.89999999999998,0.9886104783599089,0.6078431372549019,0.9968333333333333,0.7528187337380746,434,280,5,89281,0.9927420587777704,568.2322951269998
90000,9.699999999999982,0.9907407407407407,0.6028169014084507,0.9968222222222223,0.7495621716287215,428,282,4,89286,0.9937961474336072,571.3779297680012
90000,9.699999999999982,0.9840909090909091,0.5851351351351352,0.9965111111111111,0.7338983050847457,433,307,7,89253,0.9903315197531365,572.8657386710001
90000,10.19999999999998,0.9882075471698113,0.6011477761836442,0.9968555555555556,0.7475468331846566,419,278,5,89298,0.9925520186505482,562.4032845299989
90000,9.799999999999981,0.986784140969163,0.6222222222222222,0.9969111111111111,0.7632027257240204,448,272,6,89274,0.9918732980100992,578.1598692820007
90000,9.099999999999984,0.990990990990991,0.6276747503566333,0.9970555555555556,0.7685589519650655,440,261,4,89295,0.9940383066974251,579.8138684669975
90000,9.99999999999998,0.984304932735426,0.6046831955922864,0.9967333333333334,0.7491467576791808,439,287,7,89267,0.9905500812146211,584.3720605800008
90000,9.799999999999981,0.9823399558498896,0.5894039735099338,0.9964666666666666,0.7367549668874173,445,310,8,89237,0.9894390433319377,588.6692897370012
90000,9.699999999999982,0.9830508474576272,0.5858585858585859,0.9967333333333334,0.7341772151898734,406,287,7,89300,0.9899236288255352,584.9984768440008
90000,11.199999999999976,0.9674418604651163,0.6064139941690962,0.9968444444444444,0.7455197132616488,416,270,14,89300,0.9822137291607708,577.650317263
90000,10.19999999999998,0.9855421686746988,0.5910404624277457,0.9967888888888888,0.7389340560072267,409,283,6,89302,0.9911915788397773,594.5074206130012
90000,9.499999999999982,0.9857142857142858,0.5914285714285714,0.9967555555555555,0.7392857142857143,414,286,6,89294,0.9912608043887348,596.4958137909998
90000,10.699999999999978,0.9801324503311258,0.5912117177097204,0.9964888888888889,0.7375415282392026,444,307,9,89240,0.9883520415524883,598.7443735039997
90000,10.999999999999977,0.9729064039408867,0.5851851851851851,0.9967666666666667,0.730804810360777,395,280,11,89314,0.9848905973317397,601.9046835970003
90000,10.09999999999998,0.9849624060150376,0.5679190751445087,0.9966111111111111,0.7204399633363886,393,299,6,89302,0.9908126948435474,602.4471774720005
90000,10.399999999999979,0.9706546275395034,0.5939226519337016,0.9965888888888889,0.7369323050556984,430,294,13,89263,0.9836859010381952,605.2223060079996
90000,9.89999999999998,0.9857482185273159,0.5796089385474861,0.9965888888888889,0.7299912049252419,415,301,6,89278,0.9911940279946105,610.5686934190016
90000,9.599999999999982,0.9820224719101124,0.6052631578947368,0.9967444444444444,0.7489288774635818,437,285,8,89270,0.9894200350170851,611.9270101910006
90000,9.99999999999998,0.9800884955752213,0.6127247579529738,0.9967888888888888,0.7540425531914894,443,280,9,89268,0.9884808404529967,615.339982174999
90000,8.999999999999984,0.9976019184652278,0.5968436154949784,0.9968666666666667,0.7468581687612209,416,281,1,89302,0.9972325813037658,617.9336133090001
90000,9.599999999999982,0.9866369710467706,0.6204481792717087,0.9969222222222223,0.7618228718830611,443,271,6,89280,0.9918053812587764,619.0295032640024
90000,9.699999999999982,0.9930232558139535,0.5739247311827957,0.9964444444444445,0.7274275979557071,427,317,3,89253,0.9947420622041745,621.643348738995
90000,9.89999999999998,0.9905437352245863,0.6152716593245228,0.9970444444444444,0.7590579710144927,419,262,4,89315,0.9938094386405704,623.1367647860025
90000,9.799999999999981,0.9828850855745721,0.5677966101694916,0.9965222222222222,0.7197851387645479,402,306,7,89285,0.989734781963096,625.5881660980012
90000,9.499999999999982,0.9830097087378641,0.5903790087463557,0.9968,0.7377049180327869,405,281,7,89307,0.9899365639728969,627.9513925970023
90000,10.999999999999977,0.981042654028436,0.5956834532374101,0.9967888888888888,0.7412712623097583,414,281,8,89297,0.9889528615427853,631.0045750529971
90000,9.599999999999982,0.9927007299270073,0.5811965811965812,0.9967,0.7331536388140163,408,294,3,89295,0.9947095385227577,633.7906244709957
