best_auc,best_auc_threshold,best_f1_score,best_f1_score_threshold,_total,_tot_anomaly,_tot_normal,_tpr_recall,_precision,_accuracy,_f1_score,_fnr,_tnr,_fpr,_t_pos,_f_pos,_f_neg,_t_neg,_auc,total,tot_anomaly,tot_normal,tpr_recall,precision,accuracy,f1_score,fnr,tnr,fpr,t_pos,f_pos,f_neg,t_neg,auc,time_to_fit
0.9559292106143028,0.09946635989439709,0.8811594202898552,-0.01053364010560293,40000,186,39814,0.9731182795698925,0.06908396946564886,0.9389,0.12900926585887385,0.026881720430107527,0.938740141658713,0.061259858341286985,181,2439,5,37375,0.9559292106143028,40000,186,39814,0.8172043010752689,0.9559748427672956,0.998975,0.8811594202898552,0.1827956989247312,0.999824182448385,0.0001758175516150098,152,7,34,39807,0.9085142417618269,3.5863395310000215
0.9504868025533048,0.0893068149212076,0.8364779874213837,-0.010693185078792414,40000,172,39828,0.9476744186046512,0.0805734058329214,0.953275,0.14851936218678813,0.05232558139534884,0.9532991865019584,0.04670081349804158,163,1860,9,37968,0.9504868025533048,40000,172,39828,0.7732558139534884,0.910958904109589,0.9987,0.8364779874213837,0.22674418604651161,0.9996735964647986,0.0003264035352013659,133,13,39,39815,0.8864647052091436,3.588242300000047
0.9362018428572348,0.07162095167084523,0.8850574712643677,-0.038379048329154765,40000,191,39809,0.8952879581151832,0.15804066543438078,0.976725,0.26865671641791045,0.10471204188481675,0.9771157275992866,0.022884272400713408,171,911,20,38898,0.9362018428572348,40000,191,39809,0.806282722513089,0.9808917197452229,0.999,0.8850574712643677,0.193717277486911,0.9999246401567484,7.535984325152604e-05,154,3,37,39806,0.9031036813349187,3.6039116310000736
0.9378568444163272,0.0944305621710004,0.823529411764706,-0.030569437828999613,40000,204,39796,0.9313725490196079,0.079002079002079,0.944275,0.14564967420467614,0.06862745098039216,0.9443411398130466,0.055658860186953464,190,2215,14,37581,0.9378568444163272,40000,204,39796,0.7205882352941176,0.9607843137254902,0.998425,0.823529411764706,0.27941176470588236,0.9998492310785003,0.0001507689214996482,147,6,57,39790,0.860218733186309,3.565200700000105
0.9292358541263693,0.10424928686702038,0.8679245283018867,-0.02575071313297965,40000,174,39826,0.9252873563218391,0.05705173635719348,0.93315,0.10747663551401869,0.07471264367816093,0.9331843519308994,0.06681564806910059,161,2661,13,37165,0.9292358541263693,40000,174,39826,0.7931034482758621,0.9583333333333334,0.99895,0.8679245283018867,0.20689655172413793,0.9998493446492241,0.00015065535077587506,138,6,36,39820,0.8964763964625432,3.5940183889999844
0.9450838852972673,0.06925914664447627,0.9121813031161473,-0.030740853355523724,40000,190,39810,0.9157894736842105,0.1457286432160804,0.9741,0.25144508670520227,0.08421052631578947,0.9743782969103241,0.02562170308967596,174,1020,16,38790,0.9450838852972673,40000,190,39810,0.8473684210526315,0.9877300613496932,0.999225,0.9121813031161473,0.15263157894736842,0.9999497613664908,5.023863350916855e-05,161,2,29,39808,0.9236590912095612,3.5916161869999996
0.947025344068536,0.07264829010635906,0.9008498583569405,-0.027351709893640937,40000,190,39810,0.9315789473684211,0.1059245960502693,0.962325,0.19022031166039763,0.06842105263157895,0.962471740768651,0.03752825923134891,177,1494,13,38316,0.947025344068536,40000,190,39810,0.8368421052631579,0.9754601226993865,0.999125,0.9008498583569405,0.1631578947368421,0.9998995227329817,0.0001004772670183371,159,4,31,39806,0.9183708139980699,3.5749189940001997
0.9460065775534848,0.07608628818867523,0.8254847645429362,-0.003913711811324772,40000,181,39819,0.9281767955801105,0.1044776119402985,0.963675,0.18781442146450533,0.0718232044198895,0.9638363595268591,0.03616364047314096,168,1440,13,38379,0.9460065775534848,40000,181,39819,0.8232044198895028,0.8277777777777777,0.998425,0.8254847645429362,0.17679558011049723,0.9992214771842588,0.000778522815741229,149,31,32,39788,0.9112129485368808,3.5602907059999325
0.952700843924903,0.07383276507242162,0.8587257617728533,-0.02616723492757838,40000,198,39802,0.9494949494949495,0.09675759135357695,0.955875,0.17561886968706214,0.050505050505050504,0.9559067383548565,0.04409326164514346,188,1755,10,38047,0.952700843924903,40000,198,39802,0.7828282828282829,0.950920245398773,0.998725,0.8587257617728533,0.21717171717171718,0.9997990050751219,0.00020099492487814683,155,8,43,39794,0.8913136439517024,3.575864501000069
0.9377271271308427,0.11328666653750072,0.8839779005524862,-0.021713333462499318,40000,199,39801,0.9547738693467337,0.05676725425754407,0.92085,0.1071630005640158,0.04522613065326633,0.9206803849149519,0.07931961508504812,190,3157,9,36644,0.9377271271308427,40000,199,39801,0.8040201005025126,0.9815950920245399,0.99895,0.8839779005524862,0.19597989949748743,0.9999246250094219,7.537499057812617e-05,160,3,39,39798,0.9019723627559673,3.5668465889998515
0.9509788699944597,0.08394797195001188,0.8862275449101796,-0.02105202804998812,40000,181,39819,0.9447513812154696,0.0912,0.95715,0.16634241245136186,0.055248618784530384,0.9572063587734498,0.04279364122655014,171,1704,10,38115,0.9509788699944597,40000,181,39819,0.8176795580110497,0.9673202614379085,0.99905,0.8862275449101796,0.18232044198895028,0.9998744318039127,0.000125568196087295,148,5,33,39814,0.9087769949074812,3.5522075569999743
0.9459008888873269,0.09382844253731136,0.8563218390804597,-0.016171557462688654,40000,193,39807,0.9378238341968912,0.08991554893194237,0.9539,0.16409791477787852,0.06217616580310881,0.9539779435777627,0.04602205642223729,181,1832,12,37975,0.9459008888873269,40000,193,39807,0.772020725388601,0.9612903225806452,0.99875,0.8563218390804597,0.22797927461139897,0.9998492727409752,0.00015072725902479464,149,6,44,39801,0.8859349990647882,3.582711917999859
0.9556633459911942,0.09884625108991238,0.8845070422535211,-0.031153748910087643,40000,195,39805,0.9743589743589743,0.07039644312708411,0.93715,0.13130615065653076,0.02564102564102564,0.9369677176234141,0.06303228237658585,190,2509,5,37296,0.9556633459911942,40000,195,39805,0.8051282051282052,0.98125,0.998975,0.8845070422535211,0.19487179487179487,0.9999246325838462,7.536741615374953e-05,157,3,38,39802,0.9025264188560257,3.553515920000109
0.9496029404279781,0.0747033275848514,0.8608923884514436,-0.005296672415148592,40000,191,39809,0.9319371727748691,0.12018906144496962,0.9671,0.21291866028708134,0.06806282722513089,0.9672687080810872,0.03273129191891281,178,1303,13,38506,0.9496029404279781,40000,191,39809,0.8586387434554974,0.8631578947368421,0.998675,0.8608923884514436,0.14136125654450263,0.9993468813584868,0.0006531186415132256,164,26,27,39783,0.9289928124069922,3.5588743519999753
0.9486704307482484,0.06361976044783077,0.9011627906976745,-0.051380239552169214,40000,189,39811,0.9259259259259259,0.13328255902513328,0.9712,0.23302263648468707,0.07407407407407407,0.9714149355705709,0.02858506442942905,175,1138,14,38673,0.9486704307482484,40000,189,39811,0.8201058201058201,1.0,0.99915,0.9011627906976745,0.17989417989417988,1.0,0.0,155,0,34,39811,0.91005291005291,3.562504153999953
0.9469297517017058,0.09157721702910601,0.893854748603352,-0.038422782970894,40000,196,39804,0.9489795918367347,0.07815126050420168,0.9449,0.14440993788819878,0.05102040816326531,0.9448799115666767,0.055120088433323285,186,2194,10,37610,0.9469297517017058,40000,196,39804,0.8163265306122449,0.9876543209876543,0.99905,0.893854748603352,0.1836734693877551,0.9999497537935886,5.024620641141594e-05,160,2,36,39802,0.9081381422029168,3.5604641479999373
0.9381989929846116,0.07866535069420585,0.8700564971751412,-0.03633464930579415,40000,197,39803,0.9187817258883249,0.0968950749464668,0.957425,0.17530266343825665,0.08121827411167512,0.9576162600808984,0.042383739919101576,181,1687,16,38116,0.9381989929846116,40000,197,39803,0.7817258883248731,0.9808917197452229,0.99885,0.8700564971751412,0.2182741116751269,0.9999246287968243,7.537120317564003e-05,154,3,43,39800,0.8908252585608486,3.597169699999995
0.9518141444096482,0.07258665564711483,0.8523676880222842,-0.022413344352885167,40000,196,39804,0.9387755102040817,0.1162349968414403,0.964725,0.20685778527262505,0.061224489795918366,0.9648527786152146,0.035147221384785446,184,1399,12,38405,0.9518141444096482,40000,196,39804,0.7806122448979592,0.9386503067484663,0.998675,0.8523676880222842,0.2193877551020408,0.999748768967943,0.0002512310320570797,153,10,43,39794,0.8901805069329511,3.568984730000011
0.9403013896746786,0.09103358880394771,0.8767908309455588,-0.0189664111960523,40000,189,39811,0.9312169312169312,0.08032861706983113,0.9493,0.14789915966386555,0.06878306878306878,0.9493858481324257,0.050614151867574286,176,2015,13,37796,0.9403013896746786,40000,189,39811,0.8095238095238095,0.95625,0.998925,0.8767908309455588,0.19047619047619047,0.9998241691994675,0.00017583080053251615,153,7,36,39804,0.9046739893616385,3.5837453000003734
0.9579499559556882,0.0854018572456445,0.8356545961002786,-0.004598142754355502,40000,178,39822,0.9606741573033708,0.08751279426816785,0.95525,0.16041275797373356,0.03932584269662921,0.9552257546080056,0.04477424539199437,171,1783,7,38039,0.9579499559556882,40000,178,39822,0.8426966292134831,0.8287292817679558,0.998525,0.8356545961002786,0.15730337078651685,0.9992215358344634,0.0007784641655366381,150,31,28,39791,0.9209590825239733,3.558367989999624
0.9647348941586282,0.08508982842538812,0.903409090909091,-0.02991017157461189,40000,192,39808,0.9739583333333334,0.09550561797752809,0.9556,0.173953488372093,0.026041666666666668,0.9555114549839229,0.04448854501607717,187,1771,5,38037,0.9647348941586282,40000,192,39808,0.828125,0.99375,0.99915,0.903409090909091,0.171875,0.9999748794212219,2.5120578778135048e-05,159,1,33,39807,0.914049939710611,3.5840494549997857
0.9359774656391823,0.07589996431789134,0.851963746223565,-0.014100035682108658,40000,179,39821,0.9050279329608939,0.10953346855983773,0.96665,0.19541616405307602,0.09497206703910614,0.9669269983174706,0.033073001682529315,162,1317,17,38504,0.9359774656391823,40000,179,39821,0.7877094972067039,0.9276315789473685,0.998775,0.851963746223565,0.2122905027932961,0.9997237638431983,0.00027623615680168754,141,11,38,39810,0.8937166305249511,3.549194833999991
0.9399119405170185,0.09831868865465773,0.8635235732009925,-0.02168131134534229,40000,226,39774,0.9424778761061947,0.07874306839186691,0.937375,0.14534288638689868,0.05752212389380531,0.9373460049278423,0.06265399507215769,213,2492,13,37282,0.9399119405170185,40000,226,39774,0.7699115044247787,0.9830508474576272,0.998625,0.8635235732009925,0.23008849557522124,0.9999245738422085,7.54261577915221e-05,174,3,52,39771,0.8849180391334937,3.5458386279997285
0.953434820471597,0.08962010502477379,0.840909090909091,-0.01037989497522623,40000,192,39808,0.9479166666666666,0.10022026431718062,0.9589,0.18127490039840638,0.052083333333333336,0.9589529742765274,0.04104702572347267,182,1634,10,38174,0.953434820471597,40000,192,39808,0.7708333333333334,0.925,0.9986,0.840909090909091,0.22916666666666666,0.9996985530546624,0.0003014469453376206,148,12,44,39796,0.8852659431939979,3.538039685000058
0.9552032852278047,0.08436521289830165,0.8703170028818443,-0.020634787101698356,40000,188,39812,0.9521276595744681,0.09728260869565217,0.95825,0.17652859960552267,0.047872340425531915,0.9582789108811414,0.041721089118858634,179,1661,9,38151,0.9552032852278047,40000,188,39812,0.8031914893617021,0.949685534591195,0.998875,0.8703170028818443,0.19680851063829788,0.9997990555611374,0.0002009444388626545,151,8,37,39804,0.9014952724614198,3.544433564999963
0.9492424514414964,0.09867253239216353,0.8969072164948453,-0.026327467607836493,40000,210,39790,0.9571428571428572,0.07928994082840236,0.941425,0.146448087431694,0.04285714285714286,0.9413420457401357,0.05865795425986429,201,2334,9,37456,0.9492424514414964,40000,210,39790,0.8285714285714286,0.9775280898876404,0.999,0.8969072164948453,0.17142857142857143,0.9998994722292033,0.00010052777079668258,174,4,36,39786,0.9142354504003161,3.555133305000254
0.9537688363443568,0.08634576810471181,0.8860759493670888,-0.028654231895288197,40000,173,39827,0.9595375722543352,0.07420652659812249,0.94805,0.13775933609958504,0.04046242774566474,0.9480001004343787,0.05199989956562131,166,2071,7,37756,0.9537688363443568,40000,173,39827,0.8092485549132948,0.9790209790209791,0.9991,0.8860759493670888,0.1907514450867052,0.9999246742159841,7.532578401586863e-05,140,3,33,39824,0.9045866145646395,3.587934724000206
0.9350801731442899,0.09397236485239355,0.8835820895522387,-0.02602763514760647,40000,184,39816,0.9347826086956522,0.06265938069216757,0.935375,0.11744622738135882,0.06521739130434782,0.9353777375929274,0.06462226240707253,172,2573,12,37243,0.9350801731442899,40000,184,39816,0.8043478260869565,0.9801324503311258,0.999025,0.8835820895522387,0.1956521739130435,0.999924653405666,7.53465943339361e-05,148,3,36,39813,0.9021362397463113,3.583417298999848
0.9623092333804903,0.06394670476729877,0.9055555555555556,-0.03605329523270122,40000,197,39803,0.9543147208121827,0.13722627737226278,0.970225,0.23994894703254627,0.04568527918781726,0.9703037459487979,0.02969625405120217,188,1182,9,38621,0.9623092333804903,40000,197,39803,0.8274111675126904,1.0,0.99915,0.9055555555555556,0.17258883248730963,1.0,0.0,163,0,34,39803,0.9137055837563453,3.5576367240000764
0.9554744298410789,0.06249512508779318,0.8743169398907104,-0.02250487491220681,40000,197,39803,0.9441624365482234,0.123342175066313,0.966675,0.2181818181818182,0.05583756345177665,0.9667864231339346,0.033213576866065374,186,1322,11,38481,0.9554744298410789,40000,197,39803,0.8121827411167513,0.9467455621301775,0.99885,0.8743169398907104,0.18781725888324874,0.999773886390473,0.00022611360952692007,160,9,37,39794,0.9059783137536122,3.5469392989998596
0.9557145301908259,0.093486040232686,0.9023746701846965,-0.026513959767314018,40000,201,39799,0.9651741293532339,0.08315473639091299,0.94635,0.15311760063141278,0.03482587064676617,0.9462549310284178,0.053745068971582204,194,2139,7,37660,0.9557145301908259,40000,201,39799,0.8507462686567164,0.9606741573033708,0.999075,0.9023746701846965,0.14925373134328357,0.9998241161838237,0.00017588381617628584,171,7,30,39792,0.9252851924202701,3.5453374870003245
0.9488561123423817,0.09352063841315282,0.8757396449704141,-0.011479361586847203,40000,183,39817,0.9453551912568307,0.08357487922705314,0.952325,0.1535730137594319,0.0546448087431694,0.9523570334279328,0.04764296657206721,173,1897,10,37920,0.9488561123423817,40000,183,39817,0.8087431693989071,0.9548387096774194,0.99895,0.8757396449704141,0.1912568306010929,0.999824195695306,0.00017580430469397494,148,7,35,39810,0.9042836825471066,3.5512996259999454
0.9678551800977008,0.06763564024479327,0.8729281767955801,-0.01736435975520673,40000,194,39806,0.9690721649484536,0.12401055408970976,0.96665,0.2198830409356725,0.030927835051546393,0.9666381952469477,0.0333618047530523,188,1328,6,38478,0.9678551800977008,40000,194,39806,0.8144329896907216,0.9404761904761905,0.99885,0.8729281767955801,0.18556701030927836,0.999748781590715,0.0002512184092850324,158,10,36,39796,0.9070908856407183,3.5656622639999114
0.9659506026029588,0.060193266740879416,0.8571428571428572,-0.019806733259120576,40000,177,39823,0.9491525423728814,0.19649122807017544,0.9826,0.3255813953488372,0.05084745762711865,0.9827486628330362,0.017251337166963816,168,687,9,39136,0.9659506026029588,40000,177,39823,0.7966101694915254,0.9276315789473685,0.998825,0.8571428571428572,0.2033898305084746,0.9997237777163951,0.0002762222836049519,141,11,36,39812,0.8981669736039604,3.5425994429997445
0.9750632692027671,0.07785622472975326,0.9243243243243243,-0.022143775270246746,40000,196,39804,0.9897959183673469,0.10941906373378454,0.960475,0.19705434230573896,0.01020408163265306,0.9603306200381871,0.039669379961812884,194,1579,2,38225,0.9750632692027671,40000,196,39804,0.8724489795918368,0.9827586206896551,0.9993,0.9243243243243243,0.12755102040816327,0.9999246306903828,7.536930961712391e-05,171,3,25,39801,0.9361868051411099,3.5688429279998672
0.9652115073385793,0.07160562086154218,0.8902439024390244,-0.028394379138457815,40000,180,39820,0.9611111111111111,0.12401433691756272,0.969275,0.2196825396825397,0.03888888888888889,0.9693119035660472,0.03068809643395279,173,1222,7,38598,0.9652115073385793,40000,180,39820,0.8111111111111111,0.9864864864864865,0.9991,0.8902439024390244,0.18888888888888888,0.9999497739829232,5.022601707684581e-05,146,2,34,39818,0.9055304425470172,3.556341264999901
0.9567426170052239,0.07360019787817082,0.8424242424242424,-0.006399802121829179,40000,178,39822,0.9438202247191011,0.12209302325581395,0.96955,0.21621621621621623,0.056179775280898875,0.9696650092913465,0.030334990708653507,168,1208,10,38614,0.9567426170052239,40000,178,39822,0.7808988764044944,0.9144736842105263,0.9987,0.8424242424242424,0.21910112359550563,0.9996735472854201,0.0003264527145798805,139,13,39,39809,0.8902862118449574,3.5591545479996967
0.9463717510718115,0.08542051721424268,0.8774928774928776,-0.029579482785757328,40000,192,39808,0.9427083333333334,0.08341013824884792,0.95,0.15325994919559693,0.057291666666666664,0.9500351688102894,0.04996483118971061,181,1989,11,37819,0.9463717510718115,40000,192,39808,0.8020833333333334,0.9685534591194969,0.998925,0.8774928774928776,0.19791666666666666,0.9998743971061094,0.00012560289389067523,154,5,38,39803,0.9009788652197215,3.5441015860001244
0.9570425948067443,0.0713101312839117,0.8864864864864865,-0.028689868716088297,40000,202,39798,0.9405940594059405,0.15261044176706828,0.973325,0.2626123013130615,0.0594059405940594,0.9734911302075481,0.026508869792451883,190,1055,12,38743,0.9570425948067443,40000,202,39798,0.8118811881188119,0.9761904761904762,0.99895,0.8864864864864865,0.18811881188118812,0.9998994924368059,0.00010050756319413036,164,4,38,39794,0.9058903402778089,3.537416590000248
0.9508173270235997,0.09720810565465018,0.8936170212765957,-0.01779189434534983,40000,208,39792,0.9663461538461539,0.07240634005763688,0.93545,0.1347184986595174,0.03365384615384615,0.9352885002010455,0.06471149979895456,201,2575,7,37217,0.9508173270235997,40000,208,39792,0.8076923076923077,1.0,0.999,0.8936170212765957,0.19230769230769232,1.0,0.0,168,0,40,39792,0.9038461538461539,3.609688168000048
0.9394075807453827,0.08656534245616374,0.888888888888889,-0.03843465754383627,40000,190,39810,0.9263157894736842,0.08514755684567005,0.952375,0.155959237926451,0.07368421052631578,0.9524993720170811,0.04750062798291887,176,1891,14,37919,0.9394075807453827,40000,190,39810,0.8,1.0,0.99905,0.888888888888889,0.2,1.0,0.0,152,0,38,39810,0.9,3.5729263700000047
0.9462757671320557,0.07057347148441104,0.8888888888888888,-0.019426528515588955,40000,215,39785,0.9162790697674419,0.1726555652936021,0.97595,0.29056047197640117,0.08372093023255814,0.9762724644966696,0.0237275355033304,197,944,18,38841,0.9462757671320557,40000,215,39785,0.8372093023255814,0.9473684210526315,0.998875,0.8888888888888888,0.16279069767441862,0.9997486489883122,0.00025135101168782207,180,10,35,39775,0.9184789756569469,3.5703279099998326
0.9589746810573341,0.07527399882063199,0.8876404494382022,-0.02472600117936801,40000,195,39805,0.958974358974359,0.10274725274725274,0.958975,0.1856079404466501,0.041025641025641026,0.958975003140309,0.04102499685969099,187,1633,8,38172,0.9589746810573341,40000,195,39805,0.8102564102564103,0.9813664596273292,0.999,0.8876404494382022,0.18974358974358974,0.9999246325838462,7.536741615374953e-05,158,3,37,39802,0.9050905214201282,3.5469064480003
0.9550319077466846,0.07517722830415205,0.8525469168900803,-0.044822771695847946,40000,209,39791,0.9425837320574163,0.13212608987256874,0.96735,0.23176470588235293,0.05741626794258373,0.9674800834359528,0.032519916564047145,197,1294,12,38497,0.9550319077466846,40000,209,39791,0.7607655502392344,0.9695121951219512,0.998625,0.8525469168900803,0.23923444976076555,0.9998743434444975,0.00012565655550250056,159,5,50,39786,0.8803199468418659,3.5737418449998586
0.9608802601662058,0.07019218289884108,0.8909657320872274,-0.019807817101158916,40000,174,39826,0.9482758620689655,0.13513513513513514,0.973375,0.23655913978494625,0.05172413793103448,0.973484658263446,0.02651534173655401,165,1056,9,38770,0.9608802601662058,40000,174,39826,0.8218390804597702,0.9727891156462585,0.999125,0.8909657320872274,0.1781609195402299,0.9998995630994828,0.00010043690051725004,143,4,31,39822,0.9108693217796265,3.563283608999882
0.9639824120603016,0.0745279994564135,0.8756756756756757,-0.020472000543586496,40000,200,39800,0.955,0.15074980268350435,0.972875,0.2603953646898432,0.045,0.972964824120603,0.027035175879396984,191,1076,9,38724,0.9639824120603016,40000,200,39800,0.81,0.9529411764705882,0.99885,0.8756756756756757,0.19,0.9997989949748743,0.00020100502512562814,162,8,38,39792,0.9048994974874373,3.5523575340002935
